116/122/A-180 Z light pillbox		49 57 30.7 N	14 05 23.85 E
Texas State Capitol	The Texas State Capitol, located in Downtown Austin, Texas, is the fourth building to serve as the seat of Texas government.	30 16 29 N	97 44 26 W
Théâtre municipal de Besançon		47 14 03.84 N	6 01 33.89 E
The Dormition Cathedral in Odessa		46 28 30.98 N	30 43 54.89 E
The Spice Bazaar, Istanbul		41 01 00.7 N	28 58 15.13 E
Thunderbird Falls	Chugach Mountains, Alaska	61 26 31 N	149 21 28 W
Tiberias		32 47 20.04 N	35 31 20.28 E
Toblinger Knoten	The Toblinger Knoten is a mountain in the Sexten Dolomites in South Tyrol.	46 38 31 N	12 18 29 E
Tomiño	Tomiño is a municipality in Galicia, Spain in the province of Pontevedra.	41 59 31.78 N	8 44 32.54 W
Toosa	Toosa is a village in Punjab.	30 44 45.31 N	75 41 14.53 E
Topkapı Sarayı	İznik tiles: camp of the Mount Arafat	41 00 45.7 N	28 59 03.25 E
Torre de San Sadurniño		42 30 36 N	8 49 12 W
Torre de Vilanova dos Infantes		42 09 58.36 N	7 57 16.62 W
Torreón dos Andrade		43 24 27.5 N	8 10 19.25 W
Torres de Altamira		42 52 39.02 N	8 41 15.17 W
Torres de Oeste		42 40 35.81 N	8 43 32.46 W
Tour de la Chaîne	The tour de la Chaîne (XIVth century) is, with the tour Saint-Nicolas and the tour de la Lanterne, one of the three towers located on the seafront of La Rochelle, and one of the two towers that is representative of the city old harbour.	46 09 21.24 N	1 09 15.52 W
Tour de la Lanterne	The tour de la Lanterne (XVth century) is, with the tour Saint-Nicolas and the tour de la Chaîne, one of the three towers located on the seafront of La Rochelle. It was added to the historical monument list of France in 1879.	46 09 20.88 N	1 09 25.42 W
Tour Eiffel		48 51 30 N	2 17 39 E
Tour Goguin		46 59 03.84 N	3 09 19.91 E
Tour Saint-Jacques	Saint-Jacques Tower is located in the IVe arrondissement of Paris. This gothic tower is all that remains of the former church of Saint-Jacques-de-la-Boucherie.	48 51 27.95 N	2 20 55.6 E
Tour Saint-Nicolas		46 09 20.88 N	1 09 11.99 W
Trail Glacier, Alaska	Kenai Peninsula, Alaska	60 33 14 N	148 54 32 W
Transfiguration Cathedral in Odessa	Odessa Cathedral of God's Transfiguration	46 28 59.44 N	30 43 51.75 E
Trappentreustraße	The Trappentreustraße is a street in Munich, part of the Mittlerer Ring around the city centre.	48 08 12.48 N	11 32 03.84 E
Trappentreutunnel	The Trappentreutunnel is a tunnel that runs beneath the Trappentreustraße in the Borough Schwanthalerhöhe in Munich.	48 08 08.88 N	11 32 03.12 E
Trastevere	Restaurant in Via della Lungaretta	41 53 22.54 N	12 28 12.76 E
Travemünde	Travemünde is a part of Lübeck in Germany at the Baltic Sea.	53 58 00 N	10 52 00 E
Třebechovice pod Orebem	Třebechovice pod Orebem is a town in Czech Republic in Hradec Králové Region	50 12 07 N	15 59 38 E
Treskow-Platane	The Treskow-Platane is a old hybrid plane and natural monument in Berlin-Friedrichsfelde, so called in memorial of Johann Carl Sigismund von Treskow.	52 30 23.69 N	13 31 17.47 E
Treuners Altstadtmodell	The Treuner brothers' Altstadtmodell is a scale model which shows the oldtown of Frankfurt am Main prior to the air-raid damages in 1943 and 1944. The ruin model shows the destroyed old town of Frankfurt in spring 1945.	50 06 35 N	8 40 57 E
Trinitatisfriedhof, Dresden	Cemetery „Trinitatisfriedhof“ in Dresden-Johannstadt	51 03 15.08 N	13 46 20.93 E
Twierdza Osowiec	Dry moat around the fort No 3	53 27 44 N	22 37 38 E
Uetersen		53 41 14 N	9 40 09 E
Université Lille Nord de France		50 36 33.38 N	3 08 29.72 E
University of Alaska Museum of the North	Fairbanks, Alaska	64 51 30 N	147 50 32 W
Upper Darby, Pennsylvania		39 57 40.2 N	75 15 32.06 W
Urgnano		45 35 50 N	9 41 42 E
Valdoviño	Valdoviño is a municipality in the province A Coruña, Galicia, Spain.	43 36 32.23 N	8 08 30.84 W
Valjala church	Valjala church is the oldest stone church in Estonia. The construction begun in 1227.	58 24 30.32 N	22 47 13.92 E
Valparaíso		33 02 45.4 S	71 36 58.9 W
Varallo	Varallo is a town in Valsesia, Piedmont, Italy, named also Varallo Sesia.	45 49 10.95 N	8 15 19.01 E
Varigotti	Varigotti è una frazione del comune di Finale Ligure, in provincia di Savona (riviera ligure di ponente, Liguria, Italia).	44 10 53.83 N	8 23 45.56 E
Verducido, Pontevedra		42 28 35.96 N	8 37 06.66 W
Verín	Verín is a municipality in Galicia, in the province of Ourense.	41 56 22.47 N	7 26 19.59 W
Via dell'Amore (Cinque Terre)	The Via dell'Amore (=way of love) is a hiking path above the sea linking the villages of Riomaggiore and Manarola in the Cinque Terre (Liguria, Italia).	44 06 06.07 N	9 44 00.37 E
Via Dolorosa signs	third fall of Jesus (not in the Gospels).	31 46 46.48 N	35 13 56.63 E
Viana do Bolo		42 10 46.42 N	7 06 44.81 W
Vieilles prisons d'Annecy	Ancient Jails or the Palais de l'Île of Annecy.	45 53 54.89 N	6 07 36.59 E
Vilagarcía de Arousa		42 35 33.08 N	8 46 36.13 W
Vilamarín	Vilamarín is a municipality in Galicia, in the province of Ourense.	42 27 51.29 N	7 53 23.64 W
Vilanova de Arousa	Vilanova de Arousa is a municipality in Galicia, Spain in the province of Pontevedra.	42 33 48.42 N	8 49 26.69 W
Vilar de Santos	Vilar de Santos is a municipality in Galicia, in the province of Ourense.	42 05 10.72 N	7 47 44.37 W
Vilardevós		41 54 25.21 N	7 18 45.37 W
Vilariño de Conso		42 09 56.5 N	7 11 02.5 W
Vilasobroso, Mondariz		42 12 17.31 N	8 27 20.51 W
Vilassar de Mar	Vilassar de Mar is a village in the county of the Maresme, Catalonia.	41 30 19 N	2 23 34 E
Villa Berg		48 47 31.34 N	9 12 27.17 E
Villa d'Este (Tivoli)	The Villa d'Este in Tivoli is a masterpiece of Italian architecture and garden design.	41 57 45 N	12 47 46 E
Villa Ephrussi de Rothschild		43 41 48 N	7 19 42.5 E
Village Vanguard	The Village Vanguard is a jazzclub in Greenwich Village (New York City).	40 44 09.64 N	74 00 05.81 W
Villa Les Glycines	Villa Les Glycines (1902-1904)	48 40 46 N	6 10 56 E
Villa Majorelle		48 41 8 N	6 9 50 E
Villa romana de Tejada	The ancient roman villa of La Tejada is an archaeological site from II to V centuries in Quintanilla de la Cueza, Cervatos de la Cueza (Palencia, Spain).	40 58 36 N	4 48 25 W
Villa Schneider	Villa Schneider è un palazzo storico di Biella (Piemonte, Italia), servito come quartier generale delle SS durante la seconda guerra mondiale.	45 33 49.52 N	8 03 04.87 E
Villeneuve-d'Ascq	Villeneuve-d'Ascq is a commune within Lille Metropolis, in northern France	50 37 24 N	3 08 42 E
Walhalla, Victoria		37 56 37.43 S	146 27 02.75 E
Walt Disney Concert Hall		34 03 19.36 N	118 14 59.61 W
Wayside Cross Villenstraße, Bonn-Dottendorf		50 42 15.73 N	7 06 43.18 E
Weckschnapp		50 56 57.48 N	6 57 55.5 E
Westchester Lagoon, Anchorage, Alaska		61 12 16 N	149 54 58 W
West Lake		30 15 00 N	120 09 00 E
Whitemarsh Hall		40 04 42 N	75 07 44 W
Wilhelmsstift Tübingen		48 31 16.19 N	9 03 18.53 E
Woodlawn Cemetery (Bronx)	Gate on Jerome Avenue	40 53 30 N	73 52 12 W
Xàbia	Xàbia is a village in the province of Alicante.	38 47 21 N	0 09 47 E
Xinzo de Limia	Xinzo de Limia is a municipality in Galicia, in the province of Ourense.	42 03 36 N	7 43 19.87 W
Yad Vashem		31 46 23.55 N	35 10 29.2 E
Yao	Yao (八尾市, Yao-shi)  is a city in Osaka, Japan.	34 37 36.9 N	135 36 03 E
Zwehrenturm	The Zwehrenturm from 1330 is a remain of Kassel's medieval defensive wall.	51 18 49 N	9 29 54 E
Архангельск		3 64 33 00 N	40 31 48 E
Астана		1 51 07 48 N	71 25 48 E
Астрахань		46 19 59.88 N	48 01 00.12 E
Боровск		55 12 27.19 N	36 29 05.05 E
Душанбе	Dushanbe is the capital city of Tajikistan.	38 34 23.16 N	68 47 11.04 E
Екатеринбург		56 49 59.88 N	60 34 59.88 E
Москва		55 45 20.88 N	37 37 04.08 E
Нижний Новгород		56 19 36.84 N	44 00 27 E
Санкт-Петербург		59 57 00 N	30 19 12 E
სვეტიცხოველი		41 50 31 N	44 43 16 E
ჯვარი		41 30 06.84 N	44 26 24.72 E
চট্টগ্রাম		22 19 12 N	91 49 12 E
上海		1 31 10 12 N	121 28 12 E
中南海	Zhongnanhai (Chinese: 中南海; pinyin: Zhōngnánhăi) is a complex of buildings in Beijing, China which serves as the central headquarters for the Communist Party of China and the government of the People's Republic of China.	39 54 41 N	116 22 50 E
九寨沟	Jiuzhaigou Valley (Chinese: 九寨沟; pinyin: Jiǔzhàigōu; lit. "Nine Stockades Gully") is a nature reserve in Aba(阿坝) Tibetan and Qiang Autonomous District, northern Sichuan province, China.	33 09 34 N	103 52 40 E
云南	Yunnan(云南) is a Chinese southwest border province, with the most varied nationalities in China. There are 52 nationalities of people living in Yunnan, out of 56 total throughout China.	25 03 00 N	101 52 00 E
京都市	Kyoto is a city in Japan. It was the capital of Japan from 794 to 1869.	35 00 42.12 N	135 46 05.16 E
兵馬俑	Terracotta Army	34 23 05.7 N	109 16 23.1 E
別府市	Beppu is a famous onsen city in Oita Prefecture on the island of Kyushu in Japan.	33 17 04.6 N	131 29 28.6 E
北九州市	Kitakyūshū is a city in Fukuoka Prefecture on the island of Kyushu, Japan.	33 53 00.3 N	130 52 30.7 E
北京动物园	beijing zoo lies west of Xizhimen and is the western part of the Beijing, China. It is one of the largest zoos in mainland china.	39 56 19 N	116 20 00 E
北海公园	中文: 北海公园位于中国北京市城区的中偏北部，故宫和景山的西北侧，始建于辽代，是世界上现存建园时间最早的皇家宫苑。	39 55 28 N	116 22 59 E
南京	Nanjing (南京) is the capital of Jiangsu Province of China. It was the Chinese capital from 1927-1949.	32 03 00 N	118 46 00.12 E
南法華寺	Minamihokke-ji is the Buddhist temple in Takatori, Nara prefecture, Japan.	34 25 35.1 N	135 48 35.5 E
台南市		22 58 59.88 N	120 10 59.88 E
和歌山市	Wakayama (和歌山市, Wakayama-shi)  is the capital city of Wakayama Prefecture in the Kansai region of Japan.	34 13 49.3 N	135 10 14.7 E
哈尔滨	Harbin is a sub-provincial city in north-east China and the capital of the Heilongjiang Province.	45 48 05 N	126 31 45 E
四川	Nature reserve in Aba(阿坝) Tibetan and Qiang Autonomous District, northern Sichuan province, China.	30 08 00 N	102 56 00 E
圆明园	Yuanmingyuan (pinyin: Yuanmingyuan, 圆明园), or the old Summer Palace in Peking.	40 00 26 N	116 17 33 E
大津市	Ōtsu is a city in Japan. It was the capital of Japan from 667 to 672.	35 01 04.1 N	135 51 17 E
大阪市		34 41 37.5 N	135 30 07.6 E
天坛	Temple of Heaven in Beijing.	39 52 56.1 N	116 24 23.7 E
天安門	Tiananmen (Gate of Heavenly Peace) in Beijing was the southern gate of the Imperial City in Beijing.	39 54 26.4 N	116 23 27.9 E
天安门广场	Mausoleum of Mao Zedong	39 54 12 N	116 23 30 E
宇治市	Uji is a city in Kyoto prefecture. The Byodoin (an ancient Buddhist temple) and the Ujigami Shrine are famous landmarks in Uji.	34 53 03.7 N	135 47 59.3 E
屋久島	Yakushima island	30 20 00 N	130 30 00 E
广东	Guangdong (广东) is a coastal province in southern China adjacent to Hongkong and Macao.	23 24 00 N	113 30 00 E
广州		23 07 43.66 N	113 15 32.31 E
広島市	Hiroshima is one of largest cities in Japan and the capital of Hiroshima prefecture. During World War II, it was the first city in the world to have an atomic bomb dropped on it.	34 23 06.9 N	132 27 19.1 E
徳島市	Tokushima is the capital city of Tokushima prefecture on the island of Kyushu in Japan.	34 04 13 N	134 33 17.8 E
成都	Chengdu is the capital city and prefecture-level division of Sichuan Province, in southwestern China.	30 39 48.96 N	104 04 00.12 E
景山公园	Jingshan Park, Dongcheng District, Beijing.	39 55 24.5 N	116 23 26.2 E
杭州		30 15 00 N	120 10 03 E
武汉	Wuhan is the capital of the Chinese province of Hubei	30 35 13.92 N	114 17 17.16 E
滕王阁		28 41 02.76 N	115 52 32.88 E
相模原市	Sagamihara, Kanagawa	35 34 17.1 N	139 22 23.3 E
祇園	Gion (祇園) is a district of Kyoto, Japan, originally developed in the middle ages.	35 00 13 N	135 46 30 E
福岡市	Fukuoka, Fukuoka	33 35 24.5 N	130 24 06.2 E
福建	Lu You Statue in Ningde中文（简体）‎: 宁德的陆游雕像	25 54 00 N	118 18 00 E
紫禁城	The Forbidden City (紫禁城), located at the centre of Beijing, China, was the imperial palace of the last two imperial dynasties of China (from 1420 to 1924).	39 54 50.1 N	116 23 27.6 E
薩摩川内市	Satsumasendai is a city in Kagoshima prefecture, Japan.	31 48 48.5 N	130 18 14.3 E
西安	Xi'an is an ancient city located in north central China. It was the capital of various dynasties from 1046 B.C. to 907 A.D, and it has been known under a number of different names including most notably Chang'an during the Tang dynasty. Today it is the capital of Shaanxi province.	34 16 00.12 N	108 54 00 E
逗子市	Zushi (逗子市 Zushi-shi) is a city located in Kanagawa, Japan.	35 17 44.2 N	139 34 49.2 E
重庆	Chongqing is located in the southwest of China, is China's largest and most populous municipality.	29 33 00 N	106 30 24.84 E
颐和园	The Summer Palace is a former imperial palace in northwest of Beijing, China. It has been transformed in a public garden.	39 59 51 N	116 16 08.04 E
香港		22 16 48 N	114 09 36 E
高雄市	Kaohsiung is a city in Taiwan.	22 37 00.01 N	120 18 00 E
鹿児島市	Kagoshima（鹿児島市; -shi） is a city in Japan and the capital city of Kagoshima Prefecture.	31 35 48.12 N	130 33 25.92 E
