116/122/A-180 Z light pillbox		49 57 30.7 N	14 05 23.85 E
Chroniques de Jérusalem	Jerusalem Mount of Olives Santa Marta Passionists church.	31 46 15.83 N	35 15 08.48 E
Church of Adelboden	The gothic village church of Adelboden was built in the 15th century	46 29 34.1 N	7 33 32.4 E
Church of Saints Apostles Peter and Paul in Vilnius		54 41 38.82 N	25 18 22.69 E
Church of São Vítor (Braga)	Igreja de São Victor em Braga	41 33 09.95 N	8 24 47.49 W
Church of St. Johns in Vilnius		54 40 57.5 N	25 17 19.22 E
Cimetière du Montparnasse	The Montparnasse cemetery (Fr: Cimetière du Montparnasse) is a famous cemetery in the Montparnasse quarter of Paris, France.	48 50 17 N	2 19 37 E
Cimetière du Père-Lachaise	Père Lachaise Cemetery (French: Cimetière du Père-Lachaise) (officially, cimetière de l'Est “eastern cemetery”) is the largest cemetery in the city of Paris at 118 acres (48 ha), though there are larger cemeteries in Paris suburbs.	48 51 42.84 N	2 23 39.12 E
Cinque Terre	The Cinque Terre are five coastal villages in the province of La Spezia, Italy.	44 06 37.74 N	9 44 31.35 E
City Palace (Udaipur)	The City Palace in Udaipur was the royal palace of the Maharana of Mewar. The palace is located on the east bank of Lake Pichola in Udaipur, Rajasthan, India.	24 34 37.2 N	73 41 00.96 E
Ciudad Real		38 58 59.88 N	3 55 00.12 W
Clos Vougeot	Clos Vougeot is a famous vineyard in Burgundy, France.	47 10 29.72 N	4 57 19.74 E
Cochrane Bay	Chugach National Forest, Alaska	60 44 18 N	148 20 06 W
Collégiale Notre-Dame de Melun		48 32 08 N	2 39 37 E
Collégiale Saint-Florent de Niederhaslach		48 32 35 N	7 20 29 E
Collégiale Saint-Martin de Colmar		48 04 38.5 N	7 21 29 E
Collégiale Saints-Michel-et-Gangolphe de Lautenbach		47 56 27.96 N	7 09 32.94 E
Collégiale Saint-Thiébaut de Thann		47 48 40 N	7 06 06 E
Collingwood Monument	A monument to Admiral Collingwood (1748-1810) was erected in Tynemouth, North East England, in 1845.	55 00 52.96 N	1 25 12.14 W
Colonia-Haus	The Colonia-Haus is a 45-storey, 147 m skyscraper completed in 1973 in the Riehl district of Cologne, Germany.	50 57 38 N	6 58 55 E
Colonne Vendôme		48 52 02.89 N	2 19 45.89 E
Comacchio	Comacchio is a town in Emilia Romagna in Italy.	44 41 31.74 N	12 10 55.95 E
Concatedral de Santa María de Guadalajara		40 38 04.72 N	3 09 45.15 W
Conciergerie	The Conciergerie in the Palais de Justice, Paris, France	48 51 23 N	2 20 44 E
Córdoba (Argentina)	Intendancy square	31 24 00 S	64 11 00 W
Corrubedo, Ribeira		42 34 21.64 N	9 04 22.76 W
Cortegada	Cortegada is a municipality in Galicia, in the province of Ourense.	42 12 24.86 N	8 10 01.06 W
Coulée verte René-Dumont	The Promenade plantée is an elevated park in the 12th arrondissement of Paris, France.	48 50 32 N	2 23 15 E
Couvent de Bischenberg (Bischoffsheim)		48 28 59.88 N	7 28 46.34 E
Couvent de la Divine Providence de Saint-Jean-de-Bassel		48 48 12.12 N	6 59 32.06 E
Couvent de Reinacker		48 40 51.96 N	7 24 27.5 E
Crecente	Crecente is a municipality in Galicia, in the province of Pontevedra.	42 09 07.02 N	8 13 22.52 W
Credit Lyonnais Head Office		48 52 14.95 N	2 20 11.45 E
Cualedro		41 59 18.46 N	7 35 40.71 W
Culleredo	Culleredo is a municipality in the province A Coruña, Galicia, Spain.	43 17 31.02 N	8 23 08.99 W
Curtis Hall Arboretum		40 04 42 N	75 07 44 W
Cygnus olor from Carolasee	The swans and pond are there since 1882.	51 01 59.16 N	13 45 52.69 E
Dakar		14 43 55 N	17 27 26 W
Dalhems kyrka	Die Kirche von Dalhem zählt zu den berühmtesten auf Gotland. Ihr Turm, der im 14. Jahrhundert angefügt wurde, gehört zu den höchsten der Landkirchen Gotlands.	57 33 08.7 N	18 32 03.2 E
Dazaifu Tenman-gū		33 31 17.49 N	130 32 05.45 E
Delaney Park, Anchorage, Alaska		61 12 47 N	149 54 04 W
Dent du Géant		45 51 43 N	6 57 06 E
Detroit Institute of Arts	The Detroit Institute of Arts is a large art museum in Detroit, Michigan in the United States.	42 21 33.5 N	83 03 53.3 W
Deutsches Museum Verkehrszentrum	Ganghoferstraße 29, 80339 München	48 07 57.85 N	11 32 40.69 E
Deyrulzaferan		37 17 57.6 N	40 47 33.9 E
Đình Bảng	Bảng Communal House (Đình Bảng in Vietnamese) is one of largest and finest village communal houses in Việt Nam.	21 06 29.99 N	105 57 06.31 E
Doran Strait	Chugach National Forest, Alaska	61 04 34 N	148 11 20 W
